char	char_sim	initial	final	tone	cat	char_ref	details
磅	磅	p	ong	7	0		
謗	谤	p	ang	6	0		
鎊	镑	p	ong	7	0		
包	包	p	au	1	0		
苞	苞	p	au	1	0		
孢	孢	p	au	1	0		
枹	枹	h	u	1	0		
枹	枹	p	au	1	0		
胞	胞	p	au	1	0		
煲	煲	p	au	1	2		
烳	烳	p	u	5	0		
煲	煲	p	u	5	3	烳	
褒	褒	ph	au	1	0		
褒	褒	p	au	1	0		
雹	雹	ph	ak	8	1		
雹	雹	ph	ok	8	2		
雹	雹	p	au	6	2		
薄	薄	p	o	6	2		薄荷
薄	薄	p	oh	8	1		
薄	薄	p	ak	8	2		
保	保	p	o	2	1		
保	保	p	au	2	2		
葆	葆	p	au	2	0		
堡	堡	p	au	2	0		
飽	饱	p	a	2	1		
飽	饱	p	au	2	2		
褓	褓	p	au	2	0		
鴇	鸨	p	au	2	0		
寶	宝	p	o	2	1		
寶	宝	p	au	2	2		
抱	抱	ph	o	6	1		相抱
抱	抱	p	au	6	2		抱歉
趵	趵	p	a	3	1		
趵	趵	p	au	3	2		
豹	豹	p	a	3	1		
豹	豹	p	au	3	2		
報	报	p	o	3	1		
報	报	p	au	3	2		
鉋	刨	ph	au	1	0		
暴	暴	p	au	6	2		
暴	暴	ph	ak	8	1		
暴	暴	p	ok	8	2		
鮑	鲍	p	au	6	0		
爆	爆	p	au	6	0		
爆	爆	ph	ak	8	0		
陂	陂	p	o	1	0		
陂	陂	p	i	1	0		
杯	杯	p	ue	1	0		
卑	卑	p	ui	1	0		
揹	背	p	ue	6	0		
椑	椑	p	ui	1	0		
悲	悲	p	ui	1	0		
碑	碑	p	i	1	0		
北	北	p	ak	4	1		
北	北	p	ek	4	2		
孛	孛	p	uat	8	0		
貝	贝	p	ue	3	2		宝贝
貝	贝	p	ue	6	1		贝壳
貝	贝	p	ai	3	2		
背	背	p	ue	3	2		背后
背	背	p	ui	3	2		
背	背	p	ue	6	2		背叛;;背约
背	背	p	ui	6	2		
背	背	p	i	3	1		背书包
倍	倍	p	ue	6	0		
狽	狈	p	ue	6	1		
狽	狈	p	ai	6	2		
悖	悖	p	ue	6	0		
悖	悖	p	ui	6	0		
被	被	p	i	6	2		被动
被	被	ph	ue	6	1		被褥
備	备	p	i	6	0		
焙	焙	p	ue	7	0		
