char	char_sim	initial	final	tone	cat	char_ref	details
廣	广	k	ng	2	0		
逛	逛	kh	uang	1	0		
逛	逛	k	uang	6	0		
圭	圭	k	ui	1	0		
皈	皈	k	ui	1	0		
珪	珪	k	ui	1	0		
規	规	k	ui	1	0		
硅	硅	k	ui	1	0		
瑰	瑰	k	ui	3	0		
閨	闺	k	ui	1	0		
嬀	妫	k	ui	1	0		
龜	龟	k	u	1	0		
龜	龟	kh	iu	1	0		
鮭	鲑	k	oi	5	0		
鮭	鲑	k	ui	1	0		
巂	巂	s	ui	2	0		
歸	归	k	ui	1	0		
宄	宄	kh	ui	2	0		
庋	庋	k	i	2	0		
庋	庋	k	ui	2	0		
軌	轨	kh	ui	2	0		
鬼	鬼	k	ui	2	0		
癸	癸	k	ui	3	0		
匭	匦	kh	ui	2	0		
晷	晷	kh	ui	2	0		
詭	诡	k	ui	2	0		
簋	簋	kh	ui	2	0		
柜	柜	k	v	2	0		
桂	桂	k	ui	3	0		
貴	贵	k	ui	3	0		
跪	跪	k	ui	6	0		
劊	刽	k	uai	3	0		
瞶	瞆	kh	ui	6	0		
櫃	柜	k	uinn'	7	0		
鱖	鳜	kh	iat	4	0		
衮	衮	k	un	2	0		
袞	衮	k	un	2	0		
滚	滚	k	un	2	0		
滾	滚	k	un	2	0		
緄	绲	k	un	2	0		
輥	辊	k	un	2	0		
磙	磙	k	un	2	0		
鯀	鲧	k	un	2	0		
棍	棍	k	un	3	0		
郭	郭	k	ueh	4	0		
郭	郭	k	uak	4	0		
崞	崞	k	uak	4	0		
𰉗	𰉗	k	ueh	8	0		
嘓	啯	k	ok	4	0		
鍋	锅	0	ue	1	0		
蟈	蝈	k	ok	4	0		
國	国	k	uek	4	0		
國	国	k	ok	4	0		
摑	掴	k	ok	4	0		
幗	帼	k	ok	4	0		
虢	虢	kh	iat	4	0		
果	果	k	ue	2	0		
果	果	k	uann'	2	0		
果	果	k	o	2	0		
菓	菓	k	ue	2	0		
菓	菓	k	uainn'	2	0		
菓	菓	k	o	2	0		
椁	椁	k	uak	4	0		
槨	椁	k	uak	4	0		
蜾	蜾	k	o	2	0		
裹	裹	l	o	2	0		
粿	粿	k	ue	2	0		
輠	輠	kh	o	1	0		
餜	馃	k	ue	2	0		
過	过	k	o	1	0		
過	过	k	ue	3	0		
哈	哈	h	a	1	0		
哈	哈	h	ah	4	0		
鉿	铪	h	ah	8	0		
蛤	蛤	k	ap	4	0		
咳	咳	h	ai	1	0		
咳	咳	h	ai	6	0		
嗨	嗨	h	ai	1	0		
孩	孩	h	ai	5	0		
骸	骸	h	ai	5	0		
還	还	h	uan	5	0		
還	还	h	ainn'	5	0		
還	还	h	uann	1	0		
海	海	h	ai	2	0		
醢	醢	0	ai	2	0		
亥	亥	h	ai	6	0		
氦	氦	h	ai	6	0		
害	害	h	ai	7	0		
嗐	嗐	h	ai	2	0		
駭	骇	h	ai	5	0		
蚶	蚶	h	am	1	0		
頇	顸	h	an	1	0		
酣	酣	h	am	1	0		
憨	憨	h	am	1	0		
鼾	鼾	h	an	2	0		
邗	邗	h	an	5	0		
邯	邯	h	am	1	0		
含	含	h	am	5	0		
函	函	h	am	5	0		
浛	浛	h	am	5	0		
晗	晗	h	am	5	0		
涵	涵	h	am	5	0		
寒	寒	h	an	5	0		
寒	寒	k	uann	5	0		
韓	韩	h	an	5	0		
罕	罕	h	an	2	0		
喊	喊	h	am	3	0		
闞	阚	kh	am	2	0		
汗	汗	h	an	2	0		
汗	汗	h	an	5	0		
汗	汗	k	uann	7	0		
旱	旱	0	uann	6	0		
捍	捍	h	an	2	0		
悍	悍	h	an	2	0		
菡	菡	h	am	5	0		
釬	𬬧	h	uann	7	0		
焊	焊	h	an	2	0		
焊	焊	h	uann	7	0		
漢	汉	h	an	3	0		
銲	焊	h	uann	7	0		
熯	熯	h	an	1	0		
撼	撼	h	am	6	0		
翰	翰	h	an	2	0		
翰	翰	h	an	5	0		
頷	颔	0	am	6	0		
頷	颔	h	am	5	0		
澣	澣	0	uan	2	0		
憾	憾	h	am	6	0		
瀚	瀚	h	an	2	0		
瀚	瀚	h	an	5	0		
夯	夯	h	ang	3	0		
夯	夯	h	ang	5	0		
迒	迒	h	ang	5	0		
杭	杭	h	ang	5	0		
航	航	ph	ang	5	3	帆	
航	航	h	ang	5	0		
絎	绗	h	ang	5	0		
頏	颃	h	ang	5	0		
沆	沆	h	ang	5	0		
蒿	蒿	h	au	1	0		
薅	薅	h	au	1	0		
嚆	嚆	h	au	1	0		
蚝	蚝	0	o	5	0		
毫	毫	h	au	5	0		
嗥	嗥	h	au	1	0		
貉	貉	l	ok	8	0		
豪	豪	h	au	5	0		
壕	壕	h	au	5	0		
嚎	嚎	h	au	1	0		
濠	濠	h	au	5	0		
好	好	h	o	2	0		
好	好	h	aunn'	3	0		
郝	郝	h	ak	4	0		
郝	郝	s	ek	4	0		
昊	昊	h	au	2	0		
耗	耗	h	o	3	0		
耗	耗	h	au	3	0		
浩	浩	h	au	2	0		
皓	皓	h	au	2	0		
號	号	h	o	7	0		
號	号	h	au	1	0		
號	号	kh	au	3	0		
滈	滈	h	au	1	0		
顥	颢	h	au	2	0		
灝	灏	h	au	2	0		
呵	呵	0	o	1	0		
呵	呵	h	o	1	0		
喝	喝	h	at	4	0		
喝	喝	h	uah	4	0		
訶	诃	0	o	1	0		
訶	诃	h	o	1	0		
禾	禾	t	a	5	0		
禾	禾	h	ua	5	0		
禾	禾	h	o	5	0		
合	合	h	ah	8	0		
合	合	k	ap	4	0		
合	合	k	ah	4	0		
何	何	h	o	5	0		
和	和	h	o	5	0		
和	和	h	o	6	0		
和	和	h	ua	5	0		
和	和	h	ue	7	0		
郃	郃	kh	ap	4	0		
劾	劾	h	ek	4	0		
河	河	h	o	5	0		
曷	曷	h	at	4	0		
紇	纥	ng	vt	4	0		
盍	盍	kh	ap	4	0		
荷	荷	0	o	5	0		
荷	荷	0	o	6	0		
荷	荷	h	o	3	0		
荷	荷	h	o	5	0		
核	核	h	ek	4	0		
核	核	h	ut	8	0		
菏	菏	0	o	5	0		
盒	盒	0	ap	8	0		
涸	涸	kh	o	2	0		
涸	涸	h	ak	4	0		
閡	阂	h	ai	6	0		
閡	阂	h	ek	4	0		
翮	翮	k	ek	4	0		
鞨	鞨	h	at	4	0		
闔	阖	kh	ap	4	0		
覈	覈	h	ek	4	0		
覈	覈	h	ut	8	0		
龢	龢	h	o	6	0		
龢	龢	h	ua	5	0		
賀	贺	h	o	7	0		
赫	赫	h	ek	4	0		
褐	褐	h	at	4	0		
壑	壑	h	ak	4	0		
鶡	鹖	h	ak	4	0		
鶴	鹤	h	oh	8	0		
黑	黑	h	ek	4	0		
嘿	嘿	h	ai	1	0		
痕	痕	h	un	5	0		
很	很	h	vn	2	0		
狠	狠	h	vn	2	0		
恨	恨	h	vn	6	0		
亨	亨	h	eng	1	0		
亨	亨	h	vng	1	0		
哼	哼	h	eng	1	0		
哼	哼	h	ng	1	0		
哼	哼	h	ng	2	0		
脝	脝	h	eng	1	0		
恆	恒	h	eng	5	0		
珩	珩	h	ang	5	0		
桁	桁	h	ang	5	0		
桁	桁	h	eng	5	0		
橫	横	h	uenn	5	1		
橫	横	h	ueng	5	2		
衡	衡	h	ueng	5	0		
蘅	蘅	h	ueng	5	0		
啈	啈	h	ng	2	0		
哄	哄	h	ong	1	0		
哄	哄	h	ong	3	0		
訇	訇	0	ong	7	0		
烘	烘	h	ong	5	0		
薨	薨	0	iong	1	0		
轟	轰	h	ong	1	0		
轟	轰	h	ong	7	0		
弘	弘	h	ong	5	0		
宏	宏	kh	ueng	5	1		
宏	宏	h	ueng	5	2		
宏	宏	h	ong	5	2		
泓	泓	h	ueng	5	2		
泓	泓	h	ong	5	2		
虹	虹	kh	eng	5	2		
虹	虹	h	ong	5	2		
洪	洪	0	ang	5	0		
洪	洪	h	ong	5	0		
紅	红	0	ang	5	0		
紅	红	h	ong	5	0		
紘	紘	h	ong	5	0		
蕻	蕻	h	ong	3	0		
鴻	鸿	h	ong	5	0		
黌	黉	h	uang	5	0		
嗊	唝	k	ong	3	0		
訌	讧	h	ong	3	0		
閧	哄	h	ong	3	0		
鬨	哄	h	ong	3	0		
齁	齁	h	au	1	0		
侯	侯	h	ou	5	0		
喉	喉	0	au	5	0		
喉	喉	h	ou	5	0		
猴	猴	k	au	5	0		
猴	猴	h	ou	5	0		
瘊	瘊	h	ou	5	0		
骺	骺	h	ou	6	0		
篌	篌	h	ou	5	0		
糇	糇	h	ou	5	0		
吼	吼	h	au	2	0		
后	后	h	ou	6	0		
厚	厚	k	au	6	0		
逅	逅	h	ou	6	0		
後	后	0	au	6	0		
後	后	h	ou	6	0		
後	后	h	au	6	0		
候	候	h	au	7	0		
堠	堠	h	ou	5	0		
鱟	鲎	h	au	7	0		
乎	乎	h	u	1	0		
乎	乎	h	u	7	0		
呼	呼	0	u	1	0		
呼	呼	h	u	1	0		
呼	呼	h	ou	1	0		
呼	呼	kh	ou	1	0		呼桶@khou-thang2
忽	忽	h	ut	4	0		
虖	虖	h	u	1	0		
唿	呼	h	ut	4	0		
淴	淴	h	ut	4	0		
惚	惚	h	ut	4	0		
嘑	嘑	h	u	1	0		
滹	滹	h	u	1	0		
囫	囫	h	ut	4	0		
狐	狐	h	u	5	0		
狐	狐	h	ou	5	0		
弧	弧	h	u	5	0		
胡	胡	h	u	5	0		二胡@ji7-hu5
胡	胡	h	ou	5	0		胡蝇@hou5-sin5@苍蝇
胡	胡	0	ou	5	0		姓
斛	斛	h	ok	8	0		
搰	搰	k	ut	8	0		
搰	搰	kh	ut	4	0		
壺	壶	h	u	5	0		
葫	葫	h	ou	5	0		
猢	猢	h	u	5	0		
湖	湖	0	ou	5	0		
瑚	瑚	h	u	5	0		
蔛	蔛	h	ok	8	0		
槲	槲	h	ok	8	0		
蝴	蝴	h	u	5	0		
糊	糊	h	u	5	0		
糊	糊	k	ou	5	0		
縠	縠	h	ok	8	0		
觳	觳	kh	ok	4	0		
餬	糊	h	u	5	0		
鵠	鹄	kh	ok	4	0		
鬍	胡	h	u	5	0		
鬍	胡	h	ou	5	0		
鶘	鹕	h	u	5	0		
虎	虎	h	ounn'	2	0		
虎	虎	h	u	2	0		
唬	唬	h	ounn'	2	0		
許	许	h	v	2	0		
許	许	kh	ou	2	0		
琥	琥	h	ounn'	2	0		
滸	浒	h	u	2	0		
互	互	h	u	5	0		
戶	户	h	ou	6	0		
戶	户	h	u	6	0		
冱	冱	h	u	6	0		
沍	沍	h	u	6	0		
岵	岵	h	u	6	0		
怙	怙	h	u	6	0		
戽	戽	h	ou	3	0		
戽	戽	h	u	3	0		
祜	祜	h	u	6	0		
笏	笏	h	ut	4	0		
瓠	瓠	p	u	5	0		
扈	扈	h	u	6	0		
鄠	鄠	h	u	6	0		
滬	沪	h	u	6	0		
護	护	h	u	6	0		
花	花	h	ua	1	0		
花	花	h	ue	1	0		
砉	砉	0	ueh	8	0		
華	华	h	ua	1	0		
華	华	h	ua	5	0		
華	华	h	ue	1	0		
猾	猾	k	ut	8	0		
滑	滑	k	ut	8	0		
嘩	哗	h	ua	1	0		
鏵	铧	h	ua	5	0		
驊	骅	h	ua	1	0		
化	化	h	ue	3	0		
化	化	h	ua	3	0		
划	划	k	o	3	0		
划	划	h	ua	1	0		
畫	画	0	ue	7	0		
畫	画	h	ua	6	0		
話	话	0	ue	7	0		
樺	桦	h	ua	5	0		
劃	划	h	uah	4	0		
劃	划	0	ueh	8	0		
劃	划	h	uek	8	0		
徊	徊	h	ai	5	0		
淮	淮	h	uai	5	0		
槐	槐	h	uai	5	0		
踝	踝	kh	ue	3	0		
懷	怀	h	uai	5	0		
壞	坏	h	uai	6	0		
獾	獾	h	uan	1	0		
懽	懽	h	uan	1	0		
歡	欢	h	uan	1	0		
歡	欢	h	uann	1	0		
貛	貛	h	uan	1	0		
郇	郇	s	un	5	0		
洹	洹	h	uan	5	0		
桓	桓	h	uan	5	0		
萑	萑	ts	ui	1	0		
萑	萑	h	uan	1	0		
圜	圜	h	uan	5	0		
澴	澴	h	uan	5	0		
寰	寰	h	uan	5	0		
環	环	h	uan	5	0		
轘	𮝹	h	uan	5	0		
鬟	鬟	h	uan	5	0		
睆	睆	0	uan	2	0		
緩	缓	m	an	7	0		
緩	缓	h	uan	2	0		
幻	幻	h	uan	3	0		
奐	奂	h	uan	3	0		
宦	宦	h	uan	6	0		
圂	圂	h	un	6	0		
浣	浣	0	uan	2	0		
患	患	h	uam	6	0		
逭	逭	k	uan	2	0		
換	换	h	uan	3	0		
換	换	0	uann	7	0		
喚	唤	h	uan	3	0		
渙	涣	h	uan	3	0		
豢	豢	h	uan	6	0		
煥	焕	h	uan	3	0		
瘓	痪	h	uan	3	0		
擐	擐	h	uan	5	0		
肓	肓	h	uang	1	0		
荒	荒	h	uang	1	0		
塃	塃	h	uang	1	0		
慌	慌	h	uang	1	0		
皇	皇	h	uang	5	2		
皇	皇	0	uang	5	1		
凰	凰	h	uang	5	2		
凰	凰	0	uang	5	1		
隍	隍	h	uang	5	2		
隍	隍	0	ng	5	1		
黃	黄	h	uang	5	2		
黃	黄	0	ng	5	1		
喤	喤	h	uang	5	0		
遑	遑	h	uang	5	0		
徨	徨	h	uang	5	0		
湟	湟	h	uang	5	0		
惶	惶	h	uang	5	0		
煌	煌	h	uang	5	0		
潢	潢	h	uang	5	0		
璜	璜	h	uang	5	0		
蝗	蝗	h	uang	5	0		
篁	篁	h	uang	5	0		
磺	磺	0	ng	5	0		
蟥	蟥	h	uang	5	0		
簧	簧	h	uang	5	0		
鰉	鳇	h	uang	5	0		
怳	怳	h	uang	2	0		
恍	恍	h	uang	2	0		
晃	晃	h	uang	2	0		
幌	幌	h	uang	2	0		
謊	谎	h	uang	1	0		
滉	滉	h	uang	2	0		
灰	灰	h	ue	1	0		
虺	虺	h	uinn'	2	0		
恢	恢	kh	ue	1	0		
恢	恢	h	ue	1	0		
揮	挥	h	ui	1	0		
暉	晖	h	ui	1	0		
詼	诙	kh	ue	1	0		
詼	诙	h	ue	1	0		
煇	煇	h	ui	1	0		
輝	辉	h	ui	1	0		
麾	麾	h	ui	1	0		
翬	翬	h	ui	1	0		
徽	徽	h	ui	1	0		
隳	隳	h	ui	1	0		
回	回	h	ue	5	0		
廻	回	h	ue	5	0		
茴	茴	h	ue	5	0		
迴	回	h	ue	5	0		
洄	洄	h	ue	5	0		
痐	痐	h	ue	5	0		
蛔	蛔	h	ue	5	0		
悔	悔	h	ue	3	0		
毀	毁	h	uinn'	2	0		
燬	燬	h	uinn'	2	0		
譭	毁	h	uinn'	2	0		
卉	卉	h	ui	2	0		
恚	恚	h	ui	6	0		
彗	彗	h	ui	6	0		
晦	晦	h	ue	3	0		
惠	惠	h	ui	6	0		
喙	喙	h	ui	3	0		
匯	汇	h	ue	6	0		
匯	汇	h	uai	6	0		
賄	贿	0	iu	6	0		
會	会	h	ue	6	0		
會	会	k	uai	3	0		
會	会	0	oi	6	0		
𣍐	𫧃	b	oi	6	0		
𠁞	𠀾	b	oi	6	0		
滙	汇	h	ue	6	0		
彙	汇	l	ui	2	0		
蔧	蔧	h	ui	6	0		
誨	诲	h	ue	3	0		
慧	慧	h	ui	6	0		
蕙	蕙	h	ui	6	0		
薈	荟	0	ue	3	0		
薈	荟	k	uai	3	0		
噦	哕	0	ue	3	0		
噦	哕	0	ueh	4	0		
諱	讳	h	ui	3	0		
澮	浍	k	uai	3	0		
檜	桧	k	uai	3	0		
燴	烩	h	ue	6	0		
燴	烩	k	uai	3	0		
蟪	蟪	h	ui	6	0		
穢	秽	0	ue	3	0		
翽	翙	0	ue	3	0		
繪	绘	k	uai	3	0		
昏	昏	h	un	1	0		
惛	惛	h	un	1	0		
婚	婚	h	un	1	0		
葷	荤	h	un	1	0		
閽	阍	h	un	1	0		
渾	浑	h	un	1	0		
渾	浑	h	un	6	0		
琿	珲	h	un	1	0		
魂	魂	h	un	5	0		
餛	馄	h	un	5	0		
掍	掍	k	un	2	0		
混	混	h	un	6	0		
溷	溷	h	un	6	0		
諢	诨	h	un	6	0		
耠	耠	h	ak	4	0		
劐	劐	h	ak	4	0		
嚄	嚄	0	o	6	0		
豁	豁	h	ak	4	0		
活	活	k	o	1	0		
活	活	0	uah	8	0		
活	活	h	uat	8	0		
火	火	h	ue	2	0		
火	火	h	o	2	0		
伙	伙	h	ue	2	0		
伙	伙	h	o	2	0		
鈥	钬	h	ue	2	0		
漷	漷	k	uak	4	0		
夥	伙	h	ue	2	0		
或	或	h	uek	8	0		
或	或	h	ok	8	0		
貨	货	h	ue	3	0		
惑	惑	h	uek	8	0		
惑	惑	h	ok	8	0		
禍	祸	h	ua	6	0		
霍	霍	kh	ak	4	0		
獲	获	0	uek	8	0		
穫	获	0	uak	8	0		
藿	藿	kh	ak	4	0		
蠖	蠖	0	uak	8	0		
鑊	镬	0	uak	8	0		
圾	圾	kh	ip	4	0		
芨	芨	k	ip	8	0		
乩	乩	k	i	1	0		
肌	肌	k	i	1	0		
唧	唧	ts	iat	4	0		
笄	笄	k	i	1	0		
飢	飢	k	i	1	0		
屐	屐	k	iah	8	0		
屐	屐	k	ek	8	0		
姬	姬	k	i	1	0		
基	基	k	i	1	0		
敧	敧	kh	i	1	0		
犄	犄	0	i	2	0		
嵇	嵇	k	i	1	0		
畸	畸	kh	i	5	0		
箕	箕	k	i	1	0		
賫	赍	ts	v	1	0		
嘰	叽	k	i	1	0		
稽	稽	k	i	1	0		
緝	缉	tsh	ip	4	0		
緝	缉	ts	ip	4	0		
畿	畿	k	i	1	0		
璣	玑	k	i	1	0		
機	机	k	i	1	0		
墼	墼	k	ek	4	0		
積	积	ts	eh	4	0		
積	积	ts	ek	4	0		
激	激	k	ek	4	0		
擊	击	kh	ek	4	0		
磯	几	k	i	1	0		
雞	鸡	k	oi	1	0		
雞	鸡	k	i	1	0		
譏	讥	k	i	1	0		
饑	饥	k	i	1	0		
躋	跻	ts	i	3	0		
癪	𰣼	ts	ek	4	0		
齎	赍	ts	v	1	0		
齏	齑	ts	i	1	0		
羈	羁	k	i	6	0		
及	及	k	ip	8	0		
吉	吉	k	it	4	0		
岌	岌	kh	ip	4	0		
汲	汲	kh	ip	4	0		
即	即	ts	iat	4	0		
亟	亟	kh	i	3	0		
亟	亟	k	ek	4	0		
笈	笈	kh	ip	4	0		
急	急	k	ip	4	0		
級	级	kh	ip	4	0		
疾	疾	ts	ip	8	0		
極	极	k	ek	8	0		
棘	棘	k	ek	4	0		
殛	殛	k	ek	4	0		
戢	戢	tsh	ip	4	0		
集	集	ts	ip	8	0		
蒺	蒺	ts	ip	8	0		
楫	楫	tsh	ip	4	0		
嫉	嫉	ts	ip	8	0		
蕺	蕺	tsh	ip	4	0		
瘠	瘠	ts	it	4	0		
輯	辑	tsh	ip	4	0		
輯	辑	ts	ip	4	0		
藉	藉	ts	ia	6	0		
藉	藉	ts	e	6	0		
蹐	蹐	ts	it	4	0		
籍	籍	ts	ia	6	0		
籍	籍	ts	e	6	0		
鶺	鹡	ts	it	4	0		
覿	觌	t	ok	8	0		
几	几	k	i	2	0		
己	己	k	i	2	0		
脊	脊	ts	it	4	0		
幾	几	k	i	1	0		
幾	几	k	i	2	0		
幾	几	k	ui	2	0		
麂	麂	k	i	2	0		
颳	刮	k	uat	4	0		
擠	挤	ts	inn'	3	0		
蟣	虮	k	i	1	0		
伎	伎	k	i	6	0		
技	技	k	i	6	0		
芰	芰	k	i	1	0		
忌	忌	k	i	6	0		
忌	忌	kh	i	7	0		
妓	妓	k	i	6	0		
季	季	kh	ui	3	0		季节
季	季	k	i	3	0		月季
計	计	k	oi	3	0		
計	计	k	i	3	0		
迹	迹	ts	iah	4	0		
迹	迹	ts	ek	4	0		
洎	洎	k	i	3	0		
既	既	k	i	3	0		
紀	纪	k	i	2	0		
紀	纪	k	i	3	0		
記	记	k	i	3	0		
偈	偈	k	i	6	0		
偈	偈	kh	i	3	0		
徛	徛	kh	ia	6	0		
徛	徛	k	i	6	0		
徛	徛	0	i	2	0		
祭	祭	ts	i	3	0		
悸	悸	k	ui	3	0		
寄	寄	k	ia	3	0		
寄	寄	k	i	3	0		
寂	寂	s	iok	4	3		
寂	寂	ts	ek	4	2		
跡	迹	ts	iah	4	0		
跡	迹	ts	ek	4	0		
際	际	ts	i	3	0		
跽	跽	k	i	6	0		
暨	暨	k	i	3	0		
暨	暨	kh	ai	3	0		
稷	稷	ts	ek	4	0		
髻	髻	k	ue	3	0		
薊	蓟	k	i	6	0		
冀	冀	k	i	6	0		
劑	剂	ts	i	3	0		
覬	觊	k	i	6	0		
罽	罽	k	i	3	0		
濟	济	ts	i	2	0		
濟	济	ts	i	3	0		
績	绩	ts	eh	4	0		
績	绩	ts	ek	4	0		
蹟	迹	ts	iah	4	0		
蹟	迹	ts	ek	4	0		
鯽	鲫	ts	it	4	0		
繫	系	h	i	6	0		
繼	继	k	i	3	0		
霽	霁	ts	i	3	0		
鱭	鲚	ts	i	2	0		
驥	骥	k	i	6	0		
加	加	k	ia	1	0		
加	加	k	e	1	0		
佳	佳	k	ia	1	0		
迦	迦	k	ia	1	0		
珈	珈	k	ia	1	0		
枷	枷	k	e	5	0		
枷	枷	k	ia	5	0		
痂	痂	k	ia	1	0		
浹	浃	h	iap	8	0		
家	家	k	e	1	0		
家	家	k	ia	1	0		哀家@ai1-kia1
耞	耞	k	e	5	0		
耞	耞	k	ia	5	0		
笳	笳	k	ia	1	0		
袈	袈	k	e	1	0		
袈	袈	k	ia	1	0		
葭	葭	k	ia	1	0		
跏	跏	k	ia	1	0		
傢	家	k	e	1	0		
傢	家	k	ia	1	0		
裌	夹	k	oih	4	0		
裌	夹	h	iap	8	0		
嘉	嘉	k	ia	1	0		
鎵	镓	k	e	1	0		
夾	夹	k	oih	4	0		
夾	夹	k	oih	8	0		
夾	夹	h	iap	8	0		
郟	郏	k	iap	4	0		
恝	恝	kh	iat	4	0		
莢	荚	k	oih	4	0		
莢	荚	k	iap	4	0		
戛	戛	kh	at	4	0		
袷	袷	h	iap	8	0		
袷	袷	k	ah	4	0		
蛺	蛱	h	iap	8	0		
餄	饸	h	ah	4	0		
鋏	铗	k	iap	4	0		
頰	颊	k	iap	4	0		
頰	颊	k	ih	4	0		
甲	甲	k	ah	4	0		
甲	甲	k	ap	4	0		
岬	岬	k	ah	4	0		
岬	岬	k	ap	4	0		
胛	胛	k	ah	4	0		
胛	胛	k	ap	4	0		
假	假	k	e	2	0		
假	假	k	ia	2	0		
斝	斝	k	ia	2	0		
賈	贾	k	u	2	0		
賈	贾	k	ia	2	0		
鉀	钾	k	ah	4	0		
檟	槚	k	ia	2	0		
价	价	k	ai	3	0		
架	架	k	e	3	0		
架	架	k	ia	3	0		
嫁	嫁	k	e	3	0		
嫁	嫁	k	ai	3	0		
稼	稼	k	e	3	0		
稼	稼	k	ia	3	0		
價	价	k	e	3	0		
價	价	k	ia	3	0		
駕	驾	k	e	3	0		
駕	驾	k	ia	3	0		
駱	骆	l	oh	8	1		
駱	骆	l	ok	8	2		
尖	尖	ts	iam	1	0		
奸	奸	k	an	1	0		
戔	戋	ts	ian	1	0		
肩	肩	k	oinn	1	0		
肩	肩	k	ian	1	0		
姦	奸	k	an	1	0		
兼	兼	k	iam	1	0		
菅	菅	k	an	1	0		
菅	菅	k	uan	2	0		
堅	坚	k	ian	1	0		
間	间	k	an	1	0		
間	间	k	ian	1	0		
間	间	k	oinn	1	0		
間	间	k	oinn	3	0		
間	间	k	ian	3	0		
犍	犍	k	ian	6	0		
湔	湔	ts	ian	1	0		
蒹	蒹	k	iam	1	0		
煎	煎	ts	ian	1	0		
監	监	k	am	1	0		
監	监	k	am	3	0		
箋	笺	ts	ian	1	0		
蕳	𫈉	k	an	1	0		
蕑	𰱇	k	an	1	0		
緘	缄	kh	iam	5	0		
縑	缣	k	iam	1	0		
艱	艰	k	an	1	0		
殲	歼	tsh	iam	5	0		
鰹	鲣	k	ian	1	0		
韉	鞯	ts	ian	1	0		
囝	囝	k	an	2	0		
囝	囝	k	iann	2	0		
柬	柬	k	an	2	0		
梘	枧	k	an	2	0		
趼	趼	k	oinn	2	0		
剪	剪	ts	oinn	2	0		
剪	剪	ts	ian	2	0		
揀	拣	k	oinn	2	0		
減	减	k	iam	2	0		
筧	笕	k	an	2	0		
碱	碱	k	iam	2	0		
戩	戬	ts	ian	2	0		
儉	俭	kh	iam	6	0		
翦	翦	ts	ian	2	0		
撿	捡	k	iam	2	0		
檢	检	k	iam	2	0		
莶	莶	h	iam	1	0		
蹇	蹇	kh	ian	2	0		
謇	謇	kh	ian	2	0		
襇	裥	k	oinn	2	0		
繭	茧	k	oinn	2	0		
瞼	睑	k	iam	2	0		
簡	简	k	an	2	0		
謭	謭	ts	ian	2	0		
鹹	咸	k	iam	5	0		
騫	骞	kh	ian	1	0		
籛	籛	ts	ian	1	0		
鹼	硷	k	iam	2	0		
件	件	k	iann	6	0		
件	件	k	ian	6	0		
見	见	h	in	7	0		
見	见	h	ian	7	0		
見	见	k	ian	3	0		
見	见	k	inn	3	0		
建	建	k	ian	6	0		
牮	牮	ts	in	3	0		
健	健	k	ian	6	0		
健	健	k	iann	7	0		轻健@khin1-kiann7
毽	毽	k	ian	6	0		
腱	腱	k	ian	6	0		
僭	僭	tsh	iam	3	0		
漸	渐	ts	iam	1	0		
漸	渐	ts	iam	6	0		
賤	贱	ts	uann	7	0		
賤	贱	ts	ian	6	0		
踐	践	ts	ian	2	0		
箭	箭	ts	inn	3	0		
劍	剑	k	iam	3	0		
澗	涧	k	an	2	0		
薦	荐	ts	in	3	0		
鍵	键	k	ian	6	0		
餞	饯	ts	ian	2	0		
諫	谏	k	an	3	0		
鍳	鉴	k	am	3	0		
瞯	𰥨	k	an	3	0		
濺	溅	ts	ian	1	0		
濺	溅	ts	ian	2	0		
艦	舰	l	am	2	0		
鐧	锏	k	an	2	0		
鑒	鉴	k	am	3	0		
鑑	鉴	k	am	3	0		
江	江	k	ang	1	0		
江	江	k	iang	1	0		
茳	茳	k	ang	1	0		
姜	姜	k	iang	1	0		
豇	豇	k	ang	1	0		
將	将	ts	iang	1	0		
將	将	ts	iang	3	0		
僵	僵	k	iang	1	0		
漿	浆	ts	ionn	1	0		
漿	浆	ts	iang	1	0		
薑	姜	k	ionn	1	0		
薑	姜	k	iang	1	0		
殭	殭	k	iang	1	0		
螿	螀	ts	iang	1	0		
疆	疆	k	iang	1	0		
繮	缰	k	iang	1	0		
韁	缰	k	iang	1	0		
蔣	蒋	ts	ionn	2	0		
槳	桨	ts	ionn	2	0		
獎	奖	ts	iang	3	0		
耩	耩	k	ang	2	0		
講	讲	k	ang	2	0		
匠	匠	ts	iang	6	0		
匠	匠	tsh	ionn	7	0		
降	降	k	ang	3	0		
降	降	h	ang	5	0		
洚	洚	k	ang	3	0		
弶	弶	ts	iang	1	0		
弶	弶	t	ionn	1	0		
絳	绛	k	ang	3	0		
糨	糨	ts	iang	2	0		
醬	酱	ts	ionn	3	0		
艽	艽	k	iu	2	0		
交	交	k	au	1	0		
郊	郊	k	au	1	0		
茭	茭	k	au	1	0		
姣	姣	k	iau	1	0		
椒	椒	ts	io	1	0		
蛟	蛟	k	au	1	0		
焦	焦	ts	iau	1	0		
跤	跤	k	au	1	0		
蕉	蕉	ts	io	1	0		
膠	胶	k	a	1	0		
澆	浇	n	au	1	0		
澆	浇	k	iau	1	0		
嬌	娇	k	iau	1	0		
礁	礁	ts	iau	1	0		
鮫	鲛	k	au	1	0		
轇	𫐖	k	au	1	0		
驕	骄	k	iau	1	0		
鷦	鹪	ts	iau	1	0		
角	角	k	ak	4	0		
角	角	k	ioh	4	0		
佼	佼	k	au	2	0		
狡	狡	k	au	2	0		
